held_out_region,stack,model,oa,macro_f1,n_train,n_test
advisor_vhr_cell_39_1,B0,RandomForest,0.3888888888888889,0.1777777777777777,604.0,18.0
advisor_vhr_cell_39_1,B0,XGBoost,0.3333333333333333,0.1558441558441558,604.0,18.0
advisor_vhr_cell_39_1,B1,RandomForest,0.4444444444444444,0.2227272727272727,604.0,18.0
advisor_vhr_cell_39_1,B1,XGBoost,0.5,0.35,604.0,18.0
advisor_vhr_cell_39_1,B2,RandomForest,0.6666666666666666,0.547270955165692,604.0,18.0
advisor_vhr_cell_39_1,B2,XGBoost,0.5,0.2799999999999999,604.0,18.0
advisor_vhr_cell_39_1,B3,RandomForest,0.5555555555555556,0.3986111111111111,604.0,18.0
advisor_vhr_cell_39_1,B3,XGBoost,0.5555555555555556,0.4790552584670231,604.0,18.0
advisor_vhr_cell_39_2,B0,RandomForest,0.58,0.4171104079847713,572.0,50.0
advisor_vhr_cell_39_2,B0,XGBoost,0.58,0.3981813015061097,572.0,50.0
advisor_vhr_cell_39_2,B1,RandomForest,0.6,0.414176245210728,572.0,50.0
advisor_vhr_cell_39_2,B1,XGBoost,0.64,0.4334876543209876,572.0,50.0
advisor_vhr_cell_39_2,B2,RandomForest,0.7,0.6013071895424836,572.0,50.0
advisor_vhr_cell_39_2,B2,XGBoost,0.7,0.7181277672359265,572.0,50.0
advisor_vhr_cell_39_2,B3,RandomForest,0.74,0.7370114942528736,572.0,50.0
advisor_vhr_cell_39_2,B3,XGBoost,0.72,0.7276190476190476,572.0,50.0
advisor_vhr_cell_40_2,B0,RandomForest,0.5555555555555556,0.2600732600732601,595.0,27.0
advisor_vhr_cell_40_2,B0,XGBoost,0.5555555555555556,0.2541208791208791,595.0,27.0
advisor_vhr_cell_40_2,B1,RandomForest,0.5925925925925926,0.3347474747474747,595.0,27.0
advisor_vhr_cell_40_2,B1,XGBoost,0.6666666666666666,0.5936853002070392,595.0,27.0
advisor_vhr_cell_40_2,B2,RandomForest,0.7037037037037037,0.4586666666666666,595.0,27.0
advisor_vhr_cell_40_2,B2,XGBoost,0.7407407407407407,0.5452380952380952,595.0,27.0
advisor_vhr_cell_40_2,B3,RandomForest,0.7407407407407407,0.5464285714285715,595.0,27.0
advisor_vhr_cell_40_2,B3,XGBoost,0.7777777777777778,0.754399585921325,595.0,27.0
fold3_teacher_vhr_cell_88_2,B0,RandomForest,0.0,0.0,621.0,1.0
fold3_teacher_vhr_cell_88_2,B0,XGBoost,0.0,0.0,621.0,1.0
fold3_teacher_vhr_cell_88_2,B1,RandomForest,0.0,0.0,621.0,1.0
fold3_teacher_vhr_cell_88_2,B1,XGBoost,0.0,0.0,621.0,1.0
fold3_teacher_vhr_cell_88_2,B2,RandomForest,0.0,0.0,621.0,1.0
fold3_teacher_vhr_cell_88_2,B2,XGBoost,0.0,0.0,621.0,1.0
fold3_teacher_vhr_cell_88_2,B3,RandomForest,0.0,0.0,621.0,1.0
fold3_teacher_vhr_cell_88_2,B3,XGBoost,0.0,0.0,621.0,1.0
fold3_teacher_vhr_cell_88_3,B0,RandomForest,0.0,0.0,621.0,1.0
fold3_teacher_vhr_cell_88_3,B0,XGBoost,0.0,0.0,621.0,1.0
fold3_teacher_vhr_cell_88_3,B1,RandomForest,0.0,0.0,621.0,1.0
fold3_teacher_vhr_cell_88_3,B1,XGBoost,0.0,0.0,621.0,1.0
fold3_teacher_vhr_cell_88_3,B2,RandomForest,0.0,0.0,621.0,1.0
fold3_teacher_vhr_cell_88_3,B2,XGBoost,0.0,0.0,621.0,1.0
fold3_teacher_vhr_cell_88_3,B3,RandomForest,0.0,0.0,621.0,1.0
fold3_teacher_vhr_cell_88_3,B3,XGBoost,0.0,0.0,621.0,1.0
fold3_teacher_vhr_cell_88_4,B0,RandomForest,1.0,1.0,621.0,1.0
fold3_teacher_vhr_cell_88_4,B0,XGBoost,1.0,1.0,621.0,1.0
fold3_teacher_vhr_cell_88_4,B1,RandomForest,1.0,1.0,621.0,1.0
fold3_teacher_vhr_cell_88_4,B1,XGBoost,0.0,0.0,621.0,1.0
fold3_teacher_vhr_cell_88_4,B2,RandomForest,1.0,1.0,621.0,1.0
fold3_teacher_vhr_cell_88_4,B2,XGBoost,1.0,1.0,621.0,1.0
fold3_teacher_vhr_cell_88_4,B3,RandomForest,1.0,1.0,621.0,1.0
fold3_teacher_vhr_cell_88_4,B3,XGBoost,0.0,0.0,621.0,1.0
johor_negeri_pahang_rubber_belt,B0,RandomForest,0.28,0.2270580296896086,547.0,75.0
johor_negeri_pahang_rubber_belt,B0,XGBoost,0.2533333333333333,0.1646103896103896,547.0,75.0
johor_negeri_pahang_rubber_belt,B1,RandomForest,0.2933333333333333,0.1830540858318635,547.0,75.0
johor_negeri_pahang_rubber_belt,B1,XGBoost,0.3066666666666666,0.1893094949049038,547.0,75.0
johor_negeri_pahang_rubber_belt,B2,RandomForest,0.2266666666666666,0.2173817173817174,547.0,75.0
johor_negeri_pahang_rubber_belt,B2,XGBoost,0.2666666666666666,0.2496582365003417,547.0,75.0
johor_negeri_pahang_rubber_belt,B3,RandomForest,0.2666666666666666,0.2596825396825397,547.0,75.0
johor_negeri_pahang_rubber_belt,B3,XGBoost,0.28,0.2621457489878542,547.0,75.0
kedah_perlis_paddy_belt,B0,RandomForest,0.3587786259541984,0.2467664392059553,491.0,131.0
kedah_perlis_paddy_belt,B0,XGBoost,0.3511450381679389,0.238990638990639,491.0,131.0
kedah_perlis_paddy_belt,B1,RandomForest,0.4961832061068702,0.3286193722692446,491.0,131.0
kedah_perlis_paddy_belt,B1,XGBoost,0.5114503816793893,0.3365501853991608,491.0,131.0
kedah_perlis_paddy_belt,B2,RandomForest,0.4198473282442748,0.2825943646996278,491.0,131.0
kedah_perlis_paddy_belt,B2,XGBoost,0.3587786259541984,0.2623877002871168,491.0,131.0
kedah_perlis_paddy_belt,B3,RandomForest,0.4198473282442748,0.2940930037704231,491.0,131.0
kedah_perlis_paddy_belt,B3,XGBoost,0.3740458015267175,0.269683908045977,491.0,131.0
study_area,B0,RandomForest,0.2389937106918239,0.2544257300011074,304.0,318.0
study_area,B0,XGBoost,0.270440251572327,0.288127933679286,304.0,318.0
study_area,B1,RandomForest,0.3616352201257861,0.3746545199165165,304.0,318.0
study_area,B1,XGBoost,0.3867924528301887,0.3824840969679338,304.0,318.0
study_area,B2,RandomForest,0.4811320754716981,0.4495602455879331,304.0,318.0
study_area,B2,XGBoost,0.440251572327044,0.4105930072770631,304.0,318.0
study_area,B3,RandomForest,0.4685534591194968,0.4306330191619262,304.0,318.0
study_area,B3,XGBoost,0.4716981132075472,0.4122873888098397,304.0,318.0
